Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
65539721,07/13/2025 02:46:56 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,134-20 ROCKAWAY BOULEVARD,ROCKAWAY BOULEVARD,134 STREET,135 STREET,134 STREET,135 STREET,ADDRESS,SOUTH OZONE PARK,ROCKAWAY BOULEVARD,,In Progress,,,,10 QUEENS,4117580050,QUEENS,1038587,185108,PHONE,Unspecified,QUEENS,,,,,,,,40.67458869283475,-73.80411071946696,"(40.67458869283475, -73.80411071946696)"
65543427,07/13/2025 02:46:49 AM,,TLC,Taxi and Limousine Commission,Taxi Complaint,Driver Complaint - Non Passenger,,10016,EAST   35 STREET,EAST   35 STREET,EAST   35 STREET,LEXINGTON AVENUE,EAST   35 STREET,LEXINGTON AVENUE,INTERSECTION,,,,In Progress,,,,06 MANHATTAN,,MANHATTAN,990003,211454,MOBILE,Unspecified,MANHATTAN,,,"EAST   35 STREET AND LEXINGTON AVENUE, MANHATTAN, NY, 10016",,,,,40.747067088217776,-73.97923742305866,"(40.747067088217776, -73.97923742305866)"
65537241,07/13/2025 02:46:26 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1475 WALTON AVENUE,WALTON AVENUE,EAST  171 STREET,EAST  172 STREET,EAST  171 STREET,EAST  172 STREET,ADDRESS,BRONX,WALTON AVENUE,,In Progress,,,,04 BRONX,2028440058,BRONX,1007815,245735,PHONE,Unspecified,BRONX,,,,,,,,40.84112957874333,-73.91483365363321,"(40.84112957874333, -73.91483365363321)"
65536967,07/13/2025 02:46:09 AM,07/13/2025 02:46:38 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1465 WASHINGTON AVENUE,WASHINGTON AVENUE,ST PAULS PLACE,EAST  171 STREET,ST PAULS PLACE,EAST  171 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/13/2025 02:46:41 AM,03 BRONX,2029020036,BRONX,1010885,244212,ONLINE,Unspecified,BRONX,,,,,,,,40.83694066292417,-73.90374441298103,"(40.83694066292417, -73.90374441298103)"
65538437,07/13/2025 02:45:40 AM,,TLC,Taxi and Limousine Commission,Lost Property,Bag/Wallet,Taxi,10018,65 WEST   36 STREET,WEST   36 STREET,5 AVENUE,AVENUE OF THE AMERICAS,5 AVENUE,AVENUE OF THE AMERICAS,ADDRESS,NEW YORK,WEST   36 STREET,,In Progress,,,,05 MANHATTAN,1008380008,MANHATTAN,988129,212789,PHONE,Unspecified,MANHATTAN,,,"65 WEST   36 STREET, MANHATTAN (NEW YORK), NY, 10018",,,,,40.750732347499536,-73.98599991886537,"(40.750732347499536, -73.98599991886537)"
65539707,07/13/2025 02:45:28 AM,,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10036,341 WEST   43 STREET,WEST   43 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST   43 STREET,,In Progress,,,,04 MANHATTAN,1010340005,MANHATTAN,986873,215596,ONLINE,McCaffrey Playground,MANHATTAN,,,,,,,,40.75843731086663,-73.99053197716707,"(40.75843731086663, -73.99053197716707)"
65540942,07/13/2025 02:45:26 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10468,HARRIS PARK,HARRIS PARK,BEDFORD PARK BOULEVARD WEST,JEROME PARK RESERVOIR PATH,BEDFORD PARK BOULEVARD WEST,JEROME PARK RESERVOIR PATH,PLACE,BRONX,HARRIS PARK,,In Progress,,,,07 BRONX,2032510001,BRONX,1014095,258498,ONLINE,Unspecified,BRONX,,,,,,,,40.87614116596825,-73.89208027673119,"(40.87614116596825, -73.89208027673119)"
65536713,07/13/2025 02:44:46 AM,07/13/2025 02:49:24 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11211,390 SOUTH SECOND STREET,SOUTH SECOND STREET,HOOPER STREET,HEWES STREET,HOOPER STREET,HEWES STREET,ADDRESS,BROOKLYN,SOUTH    2 STREET,,Closed,,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,07/13/2025 02:49:22 AM,01 BROOKLYN,3024250014,BROOKLYN,997600,197776,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.70951611588307,-73.95184698988226,"(40.70951611588307, -73.95184698988226)"
65543373,07/13/2025 02:44:42 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,2125 LAFONTAINE AVENUE,LAFONTAINE AVENUE,EAST  180 STREET,EAST  181 STREET,EAST  180 STREET,EAST  181 STREET,ADDRESS,BRONX,LAFONTAINE AVENUE,,In Progress,,,,06 BRONX,2030620021,BRONX,1014125,249117,ONLINE,Unspecified,BRONX,,,,,,,,40.85039307495616,-73.89201361401378,"(40.85039307495616, -73.89201361401378)"
65537232,07/13/2025 02:44:41 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,1735 MADISON AVENUE,MADISON AVENUE,EAST  112 STREET,EAST  115 STREET,EAST  112 STREET,EAST  115 STREET,ADDRESS,NEW YORK,MADISON AVENUE,,In Progress,,,,11 MANHATTAN,1016200023,MANHATTAN,999311,230356,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.798937167531285,-73.94560249445924,"(40.798937167531285, -73.94560249445924)"
65536040,07/13/2025 02:44:26 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11417,107-31 87 STREET,87 STREET,107 AVENUE,SUTTER AVENUE,107 AVENUE,SUTTER AVENUE,ADDRESS,OZONE PARK,87 STREET,,In Progress,,,,10 QUEENS,4091480059,QUEENS,1025721,186177,MOBILE,Unspecified,QUEENS,,,,,,,,40.677592474512494,-73.85048700839288,"(40.677592474512494, -73.85048700839288)"
65537247,07/13/2025 02:44:03 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10467,3200 BARKER AVENUE,BARKER AVENUE,BURKE AVENUE,ROSEWOOD STREET,BURKE AVENUE,ROSEWOOD STREET,ADDRESS,BRONX,BARKER AVENUE,,In Progress,,,,12 BRONX,2045940001,BRONX,1020388,256907,MOBILE,Unspecified,BRONX,,,,,,,,40.87175084215927,-73.86933335839161,"(40.87175084215927, -73.86933335839161)"
65544533,07/13/2025 02:43:59 AM,,DPR,Department of Parks and Recreation,Maintenance or Facility,Unsecured Facility,Street/Curbside,11207,923 JEROME STREET,JEROME STREET,BOULEVARD HOUSES PEDESTRIAN PATH,COZINE AVENUE,BOULEVARD HOUSES PEDESTRIAN PATH,COZINE AVENUE,ADDRESS,BROOKLYN,JEROME STREET,,In Progress,,,,05 BROOKLYN,3044010001,BROOKLYN,1017724,178998,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65792158993816,-73.8793537348472,"(40.65792158993816, -73.8793537348472)"
65536061,07/13/2025 02:43:55 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10458,693 EAST  189 STREET,EAST  189 STREET,CAMBRELENG AVENUE,BEAUMONT AVENUE,CAMBRELENG AVENUE,BEAUMONT AVENUE,ADDRESS,BRONX,EAST  189 STREET,,In Progress,,,,06 BRONX,2030910095,BRONX,1016486,251212,PHONE,Unspecified,BRONX,,,,,,,,40.85613491748604,-73.8834694626174,"(40.85613491748604, -73.8834694626174)"
65538033,07/13/2025 02:43:29 AM,07/13/2025 02:45:56 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10025,845 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST  100 STREET,WEST  103 STREET,WEST  100 STREET,WEST  103 STREET,ADDRESS,NEW YORK,COLUMBUS AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/13/2025 02:45:58 AM,07 MANHATTAN,1018360001,MANHATTAN,993959,229428,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79639756165641,-73.96493425316099,"(40.79639756165641, -73.96493425316099)"
65539757,07/13/2025 02:43:23 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10456,1211 GRANT AVENUE,GRANT AVENUE,EAST  167 STREET,EAST  169 STREET,EAST  167 STREET,EAST  169 STREET,ADDRESS,BRONX,GRANT AVENUE,,In Progress,,,,04 BRONX,2024530095,BRONX,1007788,243012,MOBILE,Unspecified,BRONX,,,,,,,,40.83365580874447,-73.91494079042725,"(40.83365580874447, -73.91494079042725)"
65540906,07/13/2025 02:43:00 AM,,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11101,2-20 MALT DRIVE,MALT DRIVE,2 STREET,BEND,2 STREET,BEND,ADDRESS,LONG ISLAND CITY,MALT DRIVE,,In Progress,,,,02 QUEENS,4000110003,QUEENS,995669,208858,PHONE,Unspecified,QUEENS,,,,,,,,40.73993621611788,-73.95879323865482,"(40.73993621611788, -73.95879323865482)"
65542137,07/13/2025 02:42:58 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10025,216 WEST  100 STREET,WEST  100 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST  100 STREET,,In Progress,,,,07 MANHATTAN,1018710042,MANHATTAN,992748,229634,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.796964223254335,-73.96930772980303,"(40.796964223254335, -73.96930772980303)"
65536036,07/13/2025 02:42:49 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11216,805 PROSPECT PLACE,PROSPECT PLACE,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,ADDRESS,BROOKLYN,PROSPECT PLACE,,In Progress,,,,08 BROOKLYN,3012270076,BROOKLYN,998265,184942,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67428872663597,-73.94947505782707,"(40.67428872663597, -73.94947505782707)"
65536013,07/13/2025 02:42:42 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11234,1725 EAST   45 STREET,EAST   45 STREET,AVENUE N,FLATBUSH AVENUE,AVENUE N,FLATBUSH AVENUE,ADDRESS,BROOKLYN,EAST   45 STREET,,In Progress,,,,18 BROOKLYN,3078900020,BROOKLYN,1003223,164594,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.61842864296444,-73.93165839807463,"(40.61842864296444, -73.93165839807463)"
65543364,07/13/2025 02:42:33 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10456,765 HOME STREET,HOME STREET,FOREST AVENUE,TINTON AVENUE,FOREST AVENUE,TINTON AVENUE,ADDRESS,BRONX,HOME STREET,,In Progress,,,,03 BRONX,2026620058,BRONX,1011519,240979,PHONE,Unspecified,BRONX,,,,,,,,40.82806507861876,-73.90146635985994,"(40.82806507861876, -73.90146635985994)"
65544663,07/13/2025 02:42:26 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11234,1838 EAST   36 STREET,EAST   36 STREET,AVENUE R,FILLMORE AVENUE,AVENUE R,FILLMORE AVENUE,ADDRESS,BROOKLYN,EAST   36 STREET,,In Progress,,,,18 BROOKLYN,3084790065,BROOKLYN,1002531,162347,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.612262549343406,-73.93415709607731,"(40.612262549343406, -73.93415709607731)"
65538368,07/13/2025 02:41:57 AM,,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,10022,2 AVENUE,2 AVENUE,2 AVENUE,EAST   59 STREET,2 AVENUE,EAST   59 STREET,INTERSECTION,,,,In Progress,,,,08 MANHATTAN,,MANHATTAN,994136,216386,PHONE,Unspecified,MANHATTAN,,,,,,,,40.76060052051626,-73.96431417611583,"(40.76060052051626, -73.96431417611583)"
65540938,07/13/2025 02:41:46 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11378,58-02 48 STREET,48 STREET,MASPETH AVENUE,58 ROAD,MASPETH AVENUE,58 ROAD,ADDRESS,MASPETH,48 STREET,,In Progress,,,,05 QUEENS,4026000001,QUEENS,1005895,202134,ONLINE,Unspecified,QUEENS,,,,,,,,40.721461374607884,-73.92191319848362,"(40.721461374607884, -73.92191319848362)"
65537213,07/13/2025 02:41:21 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,1013 FULTON STREET,FULTON STREET,GRAND AVENUE,DOWNING STREET,GRAND AVENUE,DOWNING STREET,ADDRESS,BROOKLYN,FULTON STREET,,In Progress,,,,02 BROOKLYN,3019910010,BROOKLYN,994959,187872,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68233552957394,-73.96138873469926,"(40.68233552957394, -73.96138873469926)"
65540916,07/13/2025 02:41:14 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11212,252 LOTT AVENUE,LOTT AVENUE,WATKINS STREET,MOTHER GASTON BOULEVARD,WATKINS STREET,MOTHER GASTON BOULEVARD,ADDRESS,BROOKLYN,LOTT AVENUE,,In Progress,,,,16 BROOKLYN,3036280001,BROOKLYN,1010813,179182,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.65845005819211,-73.90426146401148,"(40.65845005819211, -73.90426146401148)"
65542140,07/13/2025 02:41:09 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11236,1191 EAST   96 STREET,EAST   96 STREET,FLATLANDS AVENUE,AVENUE J,FLATLANDS AVENUE,AVENUE J,ADDRESS,BROOKLYN,EAST   96 STREET,,In Progress,,,,18 BROOKLYN,3082040022,BROOKLYN,1011835,173329,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.64238173021149,-73.90060190545007,"(40.64238173021149, -73.90060190545007)"
65538469,07/13/2025 02:41:01 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11691,22-54 DIX AVENUE,DIX AVENUE,CHANDLER STREET,MCBRIDE STREET,CHANDLER STREET,MCBRIDE STREET,ADDRESS,FAR ROCKAWAY,DIX AVENUE,,In Progress,,,,14 QUEENS,4156620001,QUEENS,1051825,160431,ONLINE,Unspecified,QUEENS,,,,,,,,40.606764727387116,-73.75663403893401,"(40.606764727387116, -73.75663403893401)"
65544629,07/13/2025 02:41:00 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,114-34 LINDEN BOULEVARD,LINDEN BOULEVARD,114 STREET,115 STREET,114 STREET,115 STREET,ADDRESS,SOUTH OZONE PARK,LINDEN BOULEVARD,,In Progress,,,,10 QUEENS,,QUEENS,1032977,186212,PHONE,Unspecified,QUEENS,,,,,,,,40.677651574384775,-73.82432718419385,"(40.677651574384775, -73.82432718419385)"
65539747,07/13/2025 02:40:15 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10452,1371 OGDEN AVENUE,OGDEN AVENUE,WEST  170 STREET,WEST  171 STREET,WEST  170 STREET,WEST  171 STREET,ADDRESS,BRONX,OGDEN AVENUE,,In Progress,,,,04 BRONX,2025350021,BRONX,1005125,246017,ONLINE,Unspecified,BRONX,,,,,,,,40.84191035481179,-73.92455470884126,"(40.84191035481179, -73.92455470884126)"
65539709,07/13/2025 02:40:06 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10456,1138 TELLER AVENUE,TELLER AVENUE,EAST  166 STREET,EAST  167 STREET,EAST  166 STREET,EAST  167 STREET,ADDRESS,BRONX,TELLER AVENUE,,In Progress,,,,04 BRONX,2024290012,BRONX,1008455,241929,PHONE,Unspecified,BRONX,,,,,,,,40.83068148371854,-73.91253436359035,"(40.83068148371854, -73.91253436359035)"
65543356,07/13/2025 02:40:05 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10019,741 9 AVENUE,9 AVENUE,WEST   50 STREET,WEST   51 STREET,WEST   50 STREET,WEST   51 STREET,ADDRESS,NEW YORK,9 AVENUE,,In Progress,,,,04 MANHATTAN,1010600029,MANHATTAN,987328,217471,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.76358355780661,-73.98888874340244,"(40.76358355780661, -73.98888874340244)"
65543410,07/13/2025 02:40:02 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11207,991 WARWICK STREET,WARWICK STREET,WORTMAN AVENUE,COZINE AVENUE,WORTMAN AVENUE,COZINE AVENUE,ADDRESS,BROOKLYN,WARWICK STREET,,In Progress,,,,05 BROOKLYN,3044020149,BROOKLYN,1017818,179352,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65889288537023,-73.8790131803081,"(40.65889288537023, -73.8790131803081)"
65544641,07/13/2025 02:39:17 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11101,2-20 MALT DRIVE,MALT DRIVE,2 STREET,BEND,2 STREET,BEND,ADDRESS,LONG ISLAND CITY,MALT DRIVE,,In Progress,,,,02 QUEENS,4000110003,QUEENS,995669,208858,ONLINE,Unspecified,QUEENS,,,,,,,,40.73993621611788,-73.95879323865482,"(40.73993621611788, -73.95879323865482)"
65542169,07/13/2025 02:39:16 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,OSBORNE PLACE,OSBORNE PLACE,OSBORNE PLACE,WEST BURNSIDE AVENUE,OSBORNE PLACE,WEST BURNSIDE AVENUE,INTERSECTION,,,,In Progress,,,,05 BRONX,,BRONX,1007435,250636,PHONE,Unspecified,BRONX,,,,,,,,40.854582378348454,-73.91619006517614,"(40.854582378348454, -73.91619006517614)"
65539319,07/13/2025 02:39:15 AM,07/13/2025 02:45:41 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10025,845 COLUMBUS AVENUE,COLUMBUS AVENUE,WEST  100 STREET,WEST  103 STREET,WEST  100 STREET,WEST  103 STREET,ADDRESS,NEW YORK,COLUMBUS AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,07/13/2025 02:45:43 AM,07 MANHATTAN,1018360001,MANHATTAN,993959,229428,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.79639756165641,-73.96493425316099,"(40.79639756165641, -73.96493425316099)"
65536640,07/13/2025 02:38:52 AM,07/13/2025 02:38:52 AM,DOT,Department of Transportation,Street Condition,Pothole,,11220,52 STREET,52 STREET,4 AVENUE,5 AVENUE,,,BLOCKFACE,BROOKLYN,,N/A,Closed,,The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,07/13/2025 02:38:52 AM,07 BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
65540941,07/13/2025 02:38:40 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10033,521 WEST  175 STREET,WEST  175 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,AMSTERDAM AVENUE,AUDUBON AVENUE,ADDRESS,NEW YORK,WEST  175 STREET,,In Progress,,,,12 MANHATTAN,1021320076,MANHATTAN,1002373,246986,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.844576052231496,-73.93449821503705,"(40.844576052231496, -73.93449821503705)"
65537220,07/13/2025 02:38:23 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10473,523 COMMONWEALTH AVENUE,COMMONWEALTH AVENUE,LACOMBE AVENUE,RANDALL AVENUE,LACOMBE AVENUE,RANDALL AVENUE,ADDRESS,BRONX,COMMONWEALTH AVENUE,,In Progress,,,,09 BRONX,2035190049,BRONX,1021780,236343,PHONE,Unspecified,BRONX,,,,,,,,40.81530294439972,-73.86441530405439,"(40.81530294439972, -73.86441530405439)"
65538512,07/13/2025 02:38:12 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11221,50 GOODWIN PLACE,GOODWIN PLACE,GREENE AVENUE,GROVE STREET,GREENE AVENUE,GROVE STREET,ADDRESS,BROOKLYN,GOODWIN PLACE,,In Progress,,,,04 BROOKLYN,3032930036,BROOKLYN,1005461,191185,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.69141001613375,-73.92351339178494,"(40.69141001613375, -73.92351339178494)"
65537227,07/13/2025 02:37:56 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11417,107-31 87 STREET,87 STREET,107 AVENUE,SUTTER AVENUE,107 AVENUE,SUTTER AVENUE,ADDRESS,OZONE PARK,87 STREET,,In Progress,,,,10 QUEENS,4091480059,QUEENS,1025721,186177,MOBILE,Unspecified,QUEENS,,,,,,,,40.677592474512494,-73.85048700839288,"(40.677592474512494, -73.85048700839288)"
65538450,07/13/2025 02:36:56 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10017,216 EAST   45 STREET,EAST   45 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   45 STREET,,In Progress,,,,06 MANHATTAN,1013180038,MANHATTAN,991881,213410,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.752434393419605,-73.97245750190042,"(40.752434393419605, -73.97245750190042)"
